id_regiao,regiao,km_rodoanel,altura_cm,nivel_alerta,data_preenchimento,ultima_poda,clima,temperatura_media_c,graus_dia,inclinacao_graus,area_risco
RA-01,Rodoanel Oeste,km 12+000,"4,4",baixo,2026-06-29 00:00:00,2026-06-15 00:00:00,Nublado,15,35,3,baixo
RA-02,Rodoanel Sul,km 42+000,"6,5",baixo,2026-06-29 00:00:00,2026-06-01 00:00:00,Nublado,"16,5","45,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,5,baixo,2026-06-29 00:00:00,2026-06-15 00:00:00,Nublado,16,42,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"4,6",baixo,2026-06-29 00:00:00,2026-06-15 00:00:00,Nublado,17,49,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"5,1",baixo,2026-07-06 00:00:00,2026-06-15 00:00:00,Parcialmente nublado,15,35,3,baixo
RA-02,Rodoanel Sul,km 42+000,"7,3",medio,2026-07-06 00:00:00,2026-06-01 00:00:00,Parcialmente nublado,"16,5","45,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,6,baixo,2026-07-06 00:00:00,2026-06-15 00:00:00,Parcialmente nublado,16,42,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"5,4",baixo,2026-07-06 00:00:00,2026-06-15 00:00:00,Parcialmente nublado,17,49,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"5,5",baixo,2026-07-13 00:00:00,2026-06-15 00:00:00,Ensolarado,15,35,3,baixo
RA-02,Rodoanel Sul,km 42+000,"7,8",medio,2026-07-13 00:00:00,2026-06-01 00:00:00,Ensolarado,"16,5","45,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"6,7",baixo,2026-07-13 00:00:00,2026-06-15 00:00:00,Ensolarado,16,42,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"5,9",baixo,2026-07-13 00:00:00,2026-06-15 00:00:00,Ensolarado,17,49,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"6,2",baixo,2026-07-20 00:00:00,2026-06-15 00:00:00,Nublado,15,35,3,baixo
RA-02,Rodoanel Sul,km 42+000,"8,7",medio,2026-07-20 00:00:00,2026-06-01 00:00:00,Nublado,"16,5","45,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"7,8",medio,2026-07-20 00:00:00,2026-06-15 00:00:00,Nublado,16,42,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"6,7",baixo,2026-07-20 00:00:00,2026-06-15 00:00:00,Nublado,17,49,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"6,8",baixo,2026-07-27 00:00:00,2026-06-15 00:00:00,Parcialmente nublado,15,35,3,baixo
RA-02,Rodoanel Sul,km 42+000,"9,4",medio,2026-07-27 00:00:00,2026-06-01 00:00:00,Parcialmente nublado,"16,5","45,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"8,7",medio,2026-07-27 00:00:00,2026-06-15 00:00:00,Parcialmente nublado,16,42,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"7,4",medio,2026-07-27 00:00:00,2026-06-15 00:00:00,Parcialmente nublado,17,49,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"7,6",medio,2026-08-03 00:00:00,2026-06-15 00:00:00,Ensolarado,16,42,3,baixo
RA-02,Rodoanel Sul,km 42+000,3,baixo,2026-08-03 00:00:00,2026-08-03 00:00:00,Ensolarado,"17,5","52,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,"9,8",medio,2026-08-03 00:00:00,2026-06-15 00:00:00,Ensolarado,17,49,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"8,3",medio,2026-08-03 00:00:00,2026-06-15 00:00:00,Ensolarado,18,56,"10,4",alto
RA-01,Rodoanel Oeste,km 12+000,"8,1",medio,2026-08-10 00:00:00,2026-06-15 00:00:00,Nublado,16,42,3,baixo
RA-02,Rodoanel Sul,km 42+000,"3,6",baixo,2026-08-10 00:00:00,2026-08-03 00:00:00,Nublado,"17,5","52,5","5,4",medio
RA-03,Rodoanel Leste,km 85+000,3,baixo,2026-08-10 00:00:00,2026-08-10 00:00:00,Nublado,17,49,"8,8",alto
RA-04,Rodoanel Norte,km 105+000,"8,9",medio,2026-08-10 00:00:00,2026-06-15 00:00:00,Nublado,18,56,"10,4",alto
